img_num,High_SSIM,High_PSNR,Low_SSIM,Low_PSNR
1,0.8525334277589094,34.38139724731445,0.876998229905114,27.915754318237305
2,0.9328505725191754,38.010223388671875,0.9799291263496871,36.36326217651367
3,0.8984466084573853,36.06733703613281,0.947532968824437,32.33816146850586
4,0.9009208734876551,36.10040283203125,0.971537530626248,35.19129943847656
5,0.8857774302391345,35.45198440551758,0.9518626619224375,32.55572509765625
6,0.8608239968581731,34.58918762207031,0.9047646840897352,29.333152770996094
7,0.9123311364139653,36.700103759765625,0.9530062403544265,32.89404296875
8,0.8717732288295714,35.21855163574219,0.9002813072670094,28.421953201293945
9,0.8726020143302723,35.50170135498047,0.8542485924627758,25.626174926757812
10,0.8775958079681042,35.37164306640625,0.8969334621219208,28.223695755004883
11,0.8494561376787164,34.6184196472168,0.8563469766045939,26.057632446289062
12,0.8574477256589392,34.70615768432617,0.8701093899300975,27.036678314208984
13,0.8893597151611554,35.81962966918945,0.8949985144123263,27.84982681274414
14,0.8614244498788173,34.790245056152344,0.8725919005863814,26.989116668701172
15,0.8788738440272704,35.44715881347656,0.9037726359088536,28.890676498413086
16,0.9678274446064248,41.46394729614258,0.9877755588477152,38.71956253051758
17,0.8568814764233387,34.58991241455078,0.8852571989565073,28.355989456176758
18,0.9277716796294625,37.410491943359375,0.9868972123699519,39.3617057800293
19,0.8973614162624917,35.795684814453125,0.962608396382106,33.71534729003906
20,0.906374824949188,36.64837646484375,0.9629971940477168,33.45787811279297
21,0.8626240430899114,35.02235794067383,0.8541782146877086,25.615982055664062
22,0.8969669575644107,36.542755126953125,0.9162653580493143,27.509254455566406
23,0.8811243070777994,35.49427795410156,0.8984718730400291,27.346925735473633
24,0.8648424041799422,34.76508331298828,0.8771809885875722,26.562835693359375
25,0.8444263944628151,34.96379089355469,0.7762152520620572,22.330293655395508
26,0.8605846574622614,34.99053955078125,0.8537761429200259,25.43056869506836
27,0.8560334306024924,34.77601623535156,0.8509959853444559,26.279083251953125
28,0.8629640920489555,34.8282585144043,0.8538277722741475,26.3985652923584
29,0.8914338695688481,35.8568000793457,0.9517777127600664,32.736263275146484
30,0.8746150539287328,34.968990325927734,0.8909953200210646,27.821924209594727
31,0.9169360697145709,36.506954193115234,0.9506690955673492,31.730770111083984
32,0.8744213716988326,34.97758483886719,0.8920245470668505,28.259361267089844
33,0.884145915692899,35.35270309448242,0.9105728933561932,29.245189666748047
34,0.8861669894671141,35.469154357910156,0.8997632735048291,28.070640563964844
35,0.8723683685523204,34.92802047729492,0.8970343361197796,27.99358367919922
36,0.8598309639270646,34.3879508972168,0.8854076858233123,27.410568237304688
37,0.8567643288654141,34.42509078979492,0.8410808647093697,25.29574203491211
38,0.8584519221880894,34.165931701660156,0.8825947054323883,26.899208068847656
39,0.901603716236041,35.671966552734375,0.9551735544051964,31.815723419189453
40,0.9149210472298525,36.34672164916992,0.9606516737453799,33.165069580078125
41,0.8911816407603966,35.09601974487305,0.9475838876866343,31.174421310424805
42,0.9161863479164579,36.42013931274414,0.9592639730090614,32.232215881347656
43,0.8975259489417563,35.500160217285156,0.9332989086337867,29.400299072265625
44,0.8743103055928891,35.145050048828125,0.838565059577837,23.98851203918457
45,0.8471502899956803,34.126277923583984,0.836236491561874,25.44236946105957
46,0.853060390280871,34.3190803527832,0.8198734957134767,23.96375274658203
47,0.8637467826343759,34.78866195678711,0.8169005437613773,23.356647491455078
48,0.8566243984936824,34.5167121887207,0.8228897522543529,24.313154220581055
49,0.838320169024095,34.477596282958984,0.7473717843405921,21.186580657958984
50,0.8708144205107257,34.80654525756836,0.8741798282278032,26.271236419677734
51,0.8953127145620711,35.62263107299805,0.9205870445888018,28.66977882385254
52,0.8390116764837977,33.944183349609375,0.8188934798172373,24.945072174072266
53,0.8663705723833491,34.69742965698242,0.8649545002363306,26.685544967651367
54,0.8260378075979325,33.37746810913086,0.7834087711753498,23.81982421875
55,0.875101064526771,34.86320495605469,0.9191118295888817,29.579496383666992
56,0.8561133188761487,34.06199645996094,0.9119194285861832,29.23583984375
57,0.930547211537783,37.493202209472656,0.965345231023663,32.98378372192383
58,0.8662522728556804,34.7032356262207,0.8538459721036031,26.145889282226562
59,0.8446576655372863,33.574886322021484,0.8675119182614127,26.949420928955078
60,0.8480895481139109,34.326595306396484,0.8265644977766998,25.01507568359375
61,0.9092349846858164,36.490455627441406,0.9261957130308976,28.906057357788086
62,0.9073677933971225,36.26318359375,0.9458373327782992,30.88604164123535
63,0.8947031710931665,35.822540283203125,0.9425067617570506,31.551116943359375
64,0.8475689919351419,34.15248489379883,0.8568280364232788,26.49634552001953
65,0.8676635157266719,34.687828063964844,0.9031806426018809,28.45242691040039
66,0.8843402216170797,35.37470245361328,0.8892577655550266,27.364105224609375
67,0.8917620828896116,35.73308563232422,0.8921264963996117,27.418691635131836
68,0.9001260820630973,35.97195816040039,0.9155679829213957,29.163599014282227
69,0.8829556974347366,35.220645904541016,0.906045113955785,28.61506462097168
70,0.8928909617453774,35.41239929199219,0.9590406425351096,32.696224212646484
71,0.8662743961557897,34.338130950927734,0.9108933928334312,29.25177574157715
72,0.9026426843545062,36.00226974487305,0.9597185410686156,33.024295806884766
73,0.936436390582238,37.608367919921875,0.9760661520878563,34.73596954345703
74,0.885296299479393,35.38998031616211,0.9305643190292855,30.2493953704834
75,0.8632002601798026,34.74018096923828,0.8579182579677015,25.973215103149414
76,0.905257429433989,36.53708267211914,0.910417016033299,27.089855194091797
77,0.8384110024810093,34.379608154296875,0.7533971263488205,21.925527572631836
78,0.8680561219112923,34.696353912353516,0.8441361974925599,25.045034408569336
79,0.8585943686892334,34.237667083740234,0.8958486680490618,28.015460968017578
80,0.9148826234517714,36.72331237792969,0.9283438906986768,29.77301025390625
81,0.8612989916845691,34.61620330810547,0.8565058080138486,25.781843185424805
82,0.8969177727025998,36.11946487426758,0.9050296075326273,28.087726593017578
83,0.8520060909265762,34.3702278137207,0.8587638481226089,26.33136558532715
84,0.8461864530862125,34.59971618652344,0.7968214778850048,23.941286087036133
85,0.8349112404524672,34.35120391845703,0.7706120707784248,23.28177261352539
86,0.8347694363589877,34.677207946777344,0.7556204379601928,22.76421546936035
87,0.8504418986043256,34.6197395324707,0.8748076135540893,27.124671936035156
88,0.8699253660254427,35.35373306274414,0.855499953512208,25.597286224365234
89,0.8318135270702927,34.31759262084961,0.8003864009548359,24.464679718017578
90,0.8599885171072567,35.3769645690918,0.8289354258048548,24.39204978942871
91,0.8409026614934977,34.78132629394531,0.7888180452354371,23.484786987304688
92,0.9486514728041483,39.17683792114258,0.9809109587713932,36.23955154418945
93,0.8240131709890228,33.97369384765625,0.8429202762709475,26.242820739746094
94,0.8736330886908981,35.546836853027344,0.9040471800263163,28.261775970458984
95,0.9017572016211602,36.758033752441406,0.915096557401618,28.74652099609375
96,0.9687937985446803,41.32312774658203,0.9874149850703923,37.95945358276367
97,0.9072388101116621,36.407806396484375,0.9763070451052895,36.24949645996094
98,0.92646510807212,37.78786087036133,0.9638576846122691,32.62312316894531
99,0.8810275293445474,35.76866912841797,0.8702882859211519,25.93935203552246
